,Unnamed: 0,Unnamed: 0.1,roles,companies,locations,experience,skills,skill index,min_experience,max_experience,avg_experience,labels
0,0,0,Data Scientist - Lead / Architect  Wipro,Wipro,"'Kochi', ' Kolkata', ' Pune', ' Gurgaon', ' Chennai', ' Coimbatore', ' Bangalore', ' Mumbai (All Areas)', 'Hyderabad'",5-10 ,"'data science', 'python', 'it skills', 'artificial intelligence', 'big data', 'r'",-1.0,5,10,7.5,2
1,1,1,Urgent Requirement || Data Scientist || Noida,HCL,"'Noida', 'Delhi'",3-8 ,"'it skills', 'python', 'machine learning'",-1.0,3,8,5.5,2
2,2,2,Global Tax Automation & Operations - Data Scientist Senior Analyst,Dell,'Bangalore',3-5 ,"'artificial intelligence', 'data science', 'it skills', 'python', 'machine learning'",-1.0,3,5,4.0,2
3,4,4,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"'Noida', ' Pune', ' Chennai', 'Bangalore'",8-13 ,"'it skills', 'python', 'data science', 'machine learning', 'artificial intelligence'",-1.0,8,13,10.5,2
4,5,5,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"'Noida', ' Pune', ' Chennai', 'Bangalore'",8-13 ,"'it skills', 'python', 'data science', 'machine learning', 'artificial intelligence'",-1.0,8,13,10.5,2
10,11,11,Lead Data Scientist,NAVIKENZ INDIA PRIVATE LIMITED,"'Hyderabad', ' Bangalore', 'Delhi'",5-10 ,"'machine learning', 'data science', 'it skills', 'java', 'python'",-1.0,5,10,7.5,2
13,14,20,Data Scientist - Lead / Architect  Wipro,Wipro,"'Kochi', ' Kolkata', ' Pune', ' Gurgaon', ' Chennai', ' Coimbatore', ' Bangalore', ' Mumbai (All Areas)', 'Hyderabad'",5-10 ,"'data science', 'python', 'it skills', 'artificial intelligence', 'big data', 'r'",-1.0,5,10,7.5,2
14,15,21,Urgent Requirement || Data Scientist || Noida,HCL,"'Noida', 'Delhi'",3-8 ,"'it skills', 'python', 'machine learning'",-1.0,3,8,5.5,2
15,16,22,Global Tax Automation & Operations - Data Scientist Senior Analyst,Dell,'Bangalore',3-5 ,"'artificial intelligence', 'data science', 'it skills', 'python', 'machine learning'",-1.0,3,5,4.0,2
16,18,24,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"'Noida', ' Pune', ' Chennai', 'Bangalore'",8-13 ,"'it skills', 'python', 'data science', 'machine learning', 'artificial intelligence'",-1.0,8,13,10.5,2
17,19,25,Technical Architect/ Data Scientist,DMI Innovations Pvt. Ltd,"'Noida', ' Pune', ' Chennai', 'Bangalore'",8-13 ,"'it skills', 'python', 'data science', 'machine learning', 'artificial intelligence'",-1.0,8,13,10.5,2
23,25,31,Lead Data Scientist,NAVIKENZ INDIA PRIVATE LIMITED,"'Hyderabad', ' Bangalore', 'Delhi'",5-10 ,"'machine learning', 'data science', 'it skills', 'java', 'python'",-1.0,5,10,7.5,2
27,29,35,Opportunity For Data Scientist Internship - Bengaluru,Corner Stone Solutions,"'Indore', 'Bangalore'",0-1 ,"'it skills', 'python', 'data science'",-1.0,0,1,0.5,2
30,34,40,Senior Data Scientist,Walmart,'Bangalore',5-9 ,"'it skills', 'python', 'data science', 'machine learning', 'big data'",-1.0,5,9,7.0,2
31,35,41,Senior Data Scientist,Thomson Reuters,'Bangalore',6-8 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,6,8,7.0,2
39,45,51,Sr. Data Scientist (15412),Easy Recruit,'Bangalore',8-11 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,8,11,9.5,2
50,56,62,Wanted Data Scientists / Senior Data Scientists For our MNC client.,Andre Consultancy Services Private Limited,"'Noida', ' Chennai', 'Bangalore'",2-6 ,"'python', 'data scientist', 'machine learning', 'it skills', 'r'",-1.0,2,6,4.0,2
85,92,98,Data Scientist (Consumer Industries),Digilytics AI,'Gurgaon',4-7 ,"'data science', 'machine learning', 'it skills', 'python', 'r'",-1.0,4,7,5.5,2
87,94,100,Data Scientist / Analyst,Talentify,"'Hyderabad', ' Bangalore', 'Delhi'",0-1 ,"'machine learning', 'python', 'it skills'",-1.0,0,1,0.5,2
93,102,108,Data Scientist,First Employer,"'Gurgaon', 'Delhi'",4-8 ,"'r', 'python', 'it skills', 'data science', 'machine learning'",1.0,4,8,6.0,2
95,104,110,Data Scientist - Python/Spark/Neural Networks,Huquo Consulting Pvt. Ltd,'Gurgaon',7-11 ,"'python', 'it skills', 'data science', 'machine learning'",-1.0,7,11,9.0,2
108,118,124,Data Scientist - Deep Learning/Neural Networks,Huquo Consulting Pvt. Ltd,'Gurgaon',6-10 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,6,10,8.0,2
110,120,126,Lead Data Scientist - Deep Learning/Machine Learning,Huquo Consulting Pvt. Ltd,'Gurgaon',2-7 ,"'machine learning', 'it skills', 'python', 'data science', 'data scientist'",-1.0,2,7,4.5,2
111,121,127,Data Scientist - Deep Learning/Neural Networks,Huquo Consulting Pvt. Ltd,'Gurgaon',6-10 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,6,10,8.0,2
119,129,135,Data Scientist,TK INTERACTIVE PRIVATE LIMITED,'Mumbai',3-7 ,"'it skills', 'python', 'machine learning'",-1.0,3,7,5.0,2
125,135,141,Senior Data Scientist / Tech Lead - SQL / Python / Big Data,Exploro Solutions,"'Pune', ' Chennai', 'Bangalore'",5-10 ,"'it skills', 'python', 'data science', 'machine learning', 'big data', 'r', 'data scientist'",-1.0,5,10,7.5,2
133,143,149,Global Tax Automation & Operations / Data Scientist Advisor,Dell,'Bangalore',5-7 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,5,7,6.0,2
134,144,150,Data Scientist,IBM,'Bangalore',3-4 ,"'it skills', 'java', 'python', 'data science', 'machine learning'",-1.0,3,4,3.5,2
148,158,164,Data Scientist-Client Engineering,IBM,'Mumbai',10-15 ,"'it skills', 'python', 'data science', 'machine learning', 'artificial intelligence'",-1.0,10,15,12.5,2
151,161,167,Senior Data Scientist,Pitney Bowes India Pvt ltd,'Pune',3-6 ,"'machine learning', 'python', 'it skills'",-1.0,3,6,4.5,2
153,163,169,Senior Data Scientist,Quadratyx,'Hyderabad',5-8 ,"'r', 'python', 'machine learning', 'data science', 'it skills', 'java'",1.0,5,8,6.5,2
155,165,171,Senior Quantitative Data Scientist - Fully Remote,RemoteStar Ltd,'Remote',6-11 ,"'it skills', 'python', 'machine learning'",-1.0,6,11,8.5,2
185,199,205,Data Scientist - SQL/Python/Machine Learning Algorithms,TalentStack,'Bangalore',1-4 ,"'it skills', 'java', 'python', 'data science', 'machine learning', 'r', 'data scientist'",-1.0,1,4,2.5,2
188,202,208,Data Scientist,First Employer,"'Gurgaon', 'Delhi'",4-8 ,"'r', 'python', 'it skills', 'data science', 'machine learning'",-1.0,4,8,6.0,2
189,203,209,Data Scientist,First Employer,"'Gurgaon', 'Delhi'",4-8 ,"'machine learning', 'r', 'it skills', 'python', 'data science'",-1.0,4,8,6.0,2
190,204,210,Data Scientist,Mindreamers,'Noida',2-5 ,"'r', 'python', 'it skills', 'data scientist'",1.0,2,5,3.5,2
191,205,211,Data Scientist - Predictive Analytics,TalentStack,'Bangalore',1-3 ,"'it skills', 'java', 'python', 'data science', 'machine learning'",-1.0,1,3,2.0,2
193,207,213,Data Scientist - Predictive Analytics,TalentStack,'Bangalore',1-3 ,"'it skills', 'java', 'python', 'data science', 'machine learning', 'data scientist'",-1.0,1,3,2.0,2
