,Unnamed: 0,Unnamed: 0.1,roles,companies,locations,experience,skills,skill index,min_experience,max_experience,avg_experience,labels
6,7,7,Data Scientist - Lead / Architect  Wipro,Wipro,"'Kochi', ' Kolkata', ' Pune', ' Gurgaon', ' Chennai', ' Coimbatore', ' Bangalore', ' Mumbai (All Areas)', 'Hyderabad'",5-10 ,"'data science', 'python', 'artificial intelligence', 'r', 'sql'",-1.0,5,10,7.5,3
7,8,8,Data Analyst / Data Scientist,GUS Global Services,'Gurgaon',3-4 ,"'python', 'data science'",-1.0,3,4,3.5,3
19,21,27,Data Scientist - Lead / Architect  Wipro,Wipro,"'Kochi', ' Kolkata', ' Pune', ' Gurgaon', ' Chennai', ' Coimbatore', ' Bangalore', ' Mumbai (All Areas)', 'Hyderabad'",5-10 ,"'data science', 'python', 'artificial intelligence', 'r', 'sql'",-1.0,5,10,7.5,3
20,22,28,Data Analyst / Data Scientist,GUS Global Services,'Gurgaon',3-4 ,"'python', 'data science'",-1.0,3,4,3.5,3
33,38,44,Data Scientist,Shell,'Chennai',3-8 ,"'r', 'python', 'data science'",1.0,3,8,5.5,3
35,40,46,Data Scientist,cliqhr.com,'Delhi',3-6 ,"'r', 'python'",1.0,3,6,4.5,3
42,48,54,Analyst - Data Scientist,UPL,'Mumbai',2-3 ,"'python', 'data science'",-1.0,2,3,2.5,3
48,54,60,Data Scientist/ Sr Data Scientist,Connexions,'Gurgaon',2-6 ,"'r', 'python', 'sql'",-1.0,2,6,4.0,3
52,58,64,Senior Data Scientist,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,"'Gurgaon', 'Bangalore'",5-8 ,"'data science', 'python'",-1.0,5,8,6.5,3
62,68,74,Data Scientist - NLP/R/Python,AIM recruits,"'Mumbai', ' Pune', ' Chennai', ' Gurgaon', 'Bangalore'",5-7 ,"'r', 'python', 'artificial intelligence', 'big data'",1.0,5,7,6.0,3
67,73,79,Data Scientist,Born Commerce,'Bangalore',5-8 ,"'python', 'r', 'data science', 'artificial intelligence'",-1.0,5,8,6.5,3
75,82,88,Louis Dreyfus Company Looking For Data Scientist,Louis Dreyfus Commodities,'Bangalore',0-2 ,"'python', 'sql', 'r'",-1.0,0,2,1.0,3
78,85,91,Data Scientist - Lead / Architect  Wipro,Wipro,"'Hyderabad', ' Pune', ' Chennai', 'Bangalore'",5-10 ,"'python', 'artificial intelligence', 'r', 'sql', 'it skills'",-1.0,5,10,7.5,3
91,100,106,Data Scientist /Data Analyst For a global leader For Gurgaon/Bangalore,MITR HR Solution,"'Gurgaon', 'Bangalore'",3-8 ,"'python', 'sql'",-1.0,3,8,5.5,3
94,103,109,Manager - Data Scientist - Analytics,Huquo Consulting Pvt. Ltd,'Gurgaon',5-10 ,"'python', 'data science', 'data scientist'",-1.0,5,10,7.5,3
99,108,114,Manager - Data Scientist/Python - KPO,Huquo Consulting Pvt. Ltd,'Gurgaon',5-8 ,"'python', 'data science', 'data scientist'",-1.0,5,8,6.5,3
